站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58507,20211203191856,10.0,1022.3,100,255,6.5,0.3,10150.3
58519,20211203191856,6.1,1001.8,42,240,11.6,0.5,10375.3
58527,20211203191856,9.2,1022.7,74,11,2.6,0.1,10387.4
58600,20211203191856,5.1,1007.8,64,328,10.8,1.3,10169.3
58606,20211203191856,12.6,1003.2,55,217,2.2,1.3,10335.9
58608,20211203191856,22.2,1007.0,15,284,14.1,0.4,10413.4
58622,20211203191856,2.4,1001.3,30,6,12.2,0.6,10094.1
58626,20211203191856,20.5,1008.9,100,74,8.9,1.4,10450.0
58634,20211203191856,7.2,1003.7,36,243,14.4,1.3,10251.9
58637,20211203191856,10.3,1024.0,17,305,4.5,1.4,10450.1
58705,20211203191856,22.9,1001.0,18,307,14.5,0.2,10311.8
58715,20211203191856,25.5,1006.3,71,287,8.9,1.4,10289.3
58718,20211203191856,20.5,1019.6,84,158,4.8,0.3,10381.6
58806,20211203191856,30.7,1005.5,26,50,10.5,0.9,10242.4
58813,20211203191856,7.7,1023.4,78,43,1.4,0.3,10137.7
59092,20211203191856,25.0,1005.5,57,89,5.0,1.1,10387.6
59102,20211203191856,20.2,1021.6,11,100,13.7,1.4,10020.1
54236,20211203191856,21.0,1002.7,53,182,12.9,0.9,10387.6
54237,20211203191856,17.0,1019.6,14,92,4.7,1.4,10189.9
54243,20211203191856,17.5,1017.4,27,243,13.7,1.5,10271.9
54254,20211203191856,32.5,1010.7,55,229,6.5,0.0,10164.3
54259,20211203191856,33.7,1026.4,100,230,3.1,0.7,10006.2
54324,20211203191856,0.0,1022.8,19,350,5.4,1.1,10193.9
54326,20211203191856,4.1,1025.8,78,124,11.5,0.8,10459.0
54333,20211203191856,31.2,1001.4,98,311,5.3,1.1,10442.2
54334,20211203191856,3.1,1016.4,22,132,3.4,0.9,10356.8
54335,20211203191856,28.8,1005.1,41,90,5.9,0.6,10390.8
54337,20211203191856,32.1,1021.1,75,108,11.6,0.4,10271.5
54339,20211203191856,5.4,1015.8,78,175,4.9,1.4,10062.5
54342,20211203191856,30.1,1019.7,48,24,14.6,0.9,10376.2
54346,20211203191856,31.3,1010.9,12,80,12.0,0.7,10190.4
54349,20211203191856,3.6,1018.6,64,105,0.4,0.5,10000.5
54351,20211203191856,20.0,1010.1,52,254,5.1,0.0,10125.3
54353,20211203191856,7.4,1020.9,70,276,13.1,0.0,10446.4
54365,20211203191856,16.4,1024.4,30,82,3.5,0.0,10281.4
54452,20211203191856,16.2,1015.1,45,306,0.9,1.5,10178.0
54454,20211203191856,0.8,1024.7,2,37,3.8,0.0,10013.3
54455,20211203191856,34.9,1017.7,86,324,8.6,0.6,10115.9
54470,20211203191856,12.2,1008.2,34,89,6.8,0.6,10377.2
54471,20211203191856,27.5,1008.2,26,50,0.3,0.1,10342.3
54472,20211203191856,19.6,1007.6,84,168,2.8,0.1,10051.5
54476,20211203191856,22.3,1020.7,14,320,2.2,0.2,10182.1
54486,20211203191856,25.9,1012.9,59,310,8.6,1.1,10254.2
54493,20211203191856,2.5,1019.3,95,228,1.5,1.5,10445.5
54497,20211203191856,10.0,1016.2,19,44,7.3,1.0,10096.1
54563,20211203191856,30.8,1001.7,35,332,12.6,1.1,10479.5
54579,20211203191856,14.0,1004.5,90,31,5.9,0.7,10178.4
54584,20211203191856,26.6,1020.1,73,111,9.9,1.4,10494.0
54660,20211203191856,13.0,1024.2,83,318,12.9,1.3,10306.2
54662,20211203191856,16.4,1007.5,40,326,14.4,0.2,10481.6
50425,20211203191856,12.4,1008.3,64,13,2.5,0.0,10232.4
50434,20211203191856,15.9,1014.7,78,281,4.3,1.3,10248.2
50514,20211203191856,23.9,1014.4,98,142,5.8,1.5,10184.3
50527,20211203191856,31.6,1022.9,75,172,14.1,1.4,10411.8
50548,20211203191856,4.6,1023.0,82,180,11.3,0.4,10334.0
50603,20211203191856,29.3,1015.2,70,155,9.9,1.4,10229.5
50618,20211203191856,31.1,1002.4,47,80,11.8,1.1,10432.0
50632,20211203191856,5.3,1023.1,55,115,6.3,0.0,10441.7
50639,20211203191856,29.5,1000.9,12,144,13.4,0.0,10235.2
50727,20211203191856,27.0,1020.4,90,221,13.8,0.2,10098.6
50834,20211203191856,16.8,1005.6,78,63,5.7,1.1,10278.9
50838,20211203191856,28.9,1003.0,78,223,14.7,0.7,10017.7
50915,20211203191856,19.9,1001.6,31,330,5.6,1.3,10117.6
50924,20211203191856,8.3,1021.3,71,272,2.9,1.1,10036.4
52267,20211203191856,23.0,1018.1,55,164,7.9,1.1,10192.6
52495,20211203191856,11.2,1005.9,15,273,7.9,0.7,10283.7
52576,20211203191856,21.4,1019.9,40,150,3.7,0.5,10293.8
53068,20211203191856,28.9,1007.0,28,328,0.5,0.2,10256.5
53083,20211203191856,29.8,1001.1,67,321,8.5,1.2,10016.2
53149,20211203191856,8.3,1020.8,97,113,1.2,0.2,10295.4
53192,20211203191856,21.9,1020.3,36,10,2.9,1.4,10437.4
53195,20211203191856,1.0,1018.7,27,264,1.4,0.5,10076.9
53276,20211203191856,32.5,1002.3,33,83,1.7,1.4,10019.5
53336,20211203191856,15.0,1007.7,14,296,12.8,0.9,10316.0
53352,20211203191856,26.7,1019.8,89,36,2.8,0.7,10498.3
53362,20211203191856,5.5,1005.6,73,48,5.0,0.2,10146.4
53367,20211203191856,30.8,1024.3,45,174,0.9,0.0,10076.9
53391,20211203191856,33.8,1001.1,47,180,0.3,0.0,10444.9
53446,20211203191856,21.8,1021.3,71,324,14.9,1.0,10069.4
53463,20211203191856,24.0,1019.5,72,197,13.6,0.7,10440.7
53480,20211203191856,4.0,1024.3,10,213,4.9,0.5,10285.8
53502,20211203191856,4.3,1024.3,83,316,11.4,0.4,10359.5
53513,20211203191856,17.6,1006.4,65,241,7.0,1.0,10403.4
53529,20211203191856,25.2,1025.9,91,148,12.9,1.3,10334.0
53543,20211203191856,6.5,1023.2,55,338,5.2,1.1,10329.9
53547,20211203191856,7.1,1000.0,4,31,0.4,0.1,10152.3
53602,20211203191856,14.0,1015.8,16,280,6.4,0.0,10151.6
54012,20211203191856,0.8,1005.3,72,323,11.3,0.5,10047.8
54026,20211203191856,32.4,1015.7,90,64,3.6,0.8,10348.3
54027,20211203191856,24.4,1012.6,86,62,13.2,1.3,10141.3
54102,20211203191856,29.3,1011.3,54,28,9.8,0.4,10354.4
54115,20211203191856,34.9,1009.0,96,87,1.9,0.6,10340.0
54134,20211203191856,1.3,1012.4,8,290,6.1,0.4,10160.8
54135,20211203191856,9.1,1017.9,69,117,10.6,1.4,10085.8
54208,20211203191856,34.6,1022.0,38,358,7.5,0.2,10154.1
54213,20211203191856,10.8,1008.3,88,149,6.1,1.4,10071.1
54218,20211203191856,27.9,1019.5,92,128,3.9,0.2,10403.6
54226,20211203191856,6.2,1011.9,94,151,14.3,0.9,10234.1
53519,20211203191856,18.1,1016.7,73,111,6.4,0.1,10137.5
53612,20211203191856,21.5,1026.4,9,186,5.9,0.7,10403.8
53614,20211203191856,25.6,1022.7,96,94,13.9,0.3,10132.0
53615,20211203191856,3.4,1010.9,74,292,9.0,1.4,10124.7
53704,20211203191856,10.5,1012.6,24,347,14.9,1.5,10223.5
53705,20211203191856,2.5,1015.9,49,285,10.5,0.8,10415.9
53723,20211203191856,4.0,1023.9,83,89,13.8,1.0,10119.0
53806,20211203191856,30.4,1025.4,19,237,1.0,0.7,10203.5
53810,20211203191856,11.9,1015.6,73,87,14.3,0.3,10127.4
53817,20211203191856,30.2,1011.8,54,309,14.9,1.4,10289.7
53903,20211203191856,32.4,1004.2,91,292,6.8,0.1,10400.0
53910,20211203191856,21.2,1011.3,10,325,2.4,1.2,10299.5
51886,20211203191856,15.8,1014.1,32,97,13.3,1.5,10001.6
52602,20211203191856,1.6,1002.3,52,282,4.6,0.8,10354.0
52633,20211203191856,16.5,1015.7,99,352,7.5,1.3,10425.6
52645,20211203191856,9.9,1002.6,91,184,12.1,1.5,10199.7
52657,20211203191856,2.2,1010.9,85,43,5.3,1.1,10118.8
52707,20211203191856,20.8,1008.8,98,206,2.8,0.8,10115.1
52713,20211203191856,11.6,1007.7,72,261,1.9,1.0,10104.9
52737,20211203191856,18.8,1007.8,51,72,13.1,1.2,10038.5
52754,20211203191856,17.4,1021.7,38,239,7.1,1.3,10282.9
52765,20211203191856,1.6,1022.9,56,62,6.4,1.3,10031.3
52818,20211203191856,25.1,1019.5,69,158,1.2,1.2,10098.4
52825,20211203191856,5.4,1016.2,18,170,2.7,0.4,10167.1
52833,20211203191856,22.1,1001.7,71,312,10.4,0.8,10356.4
52836,20211203191856,15.8,1022.6,98,210,12.2,0.9,10081.4
52842,20211203191856,18.1,1018.3,94,180,6.3,0.2,10458.7
52856,20211203191856,29.6,1020.9,43,152,1.6,1.5,10489.5
52866,20211203191856,10.6,1020.1,70,163,9.4,1.5,10104.2
52868,20211203191856,7.9,1007.6,79,156,13.5,1.1,10104.9
52876,20211203191856,11.0,1025.0,45,166,9.0,1.3,10082.7
52908,20211203191856,16.4,1006.8,30,296,5.7,1.1,10497.5
52943,20211203191856,5.9,1018.4,43,138,1.8,0.7,10029.2
52955,20211203191856,7.3,1018.5,89,242,0.8,1.0,10469.3
52974,20211203191856,19.7,1005.6,71,191,2.8,1.4,10219.4
56004,20211203191856,17.9,1021.7,28,107,1.1,0.4,10163.0
56018,20211203191856,26.1,1002.6,64,186,1.8,0.5,10143.7
56021,20211203191856,4.5,1026.1,39,170,7.6,1.0,10428.3
56029,20211203191856,10.0,1016.5,56,190,4.3,0.9,10461.7
56033,20211203191856,29.6,1007.0,83,122,0.3,0.1,10145.0
56034,20211203191856,3.9,1003.8,33,246,10.1,0.3,10393.0
56043,20211203191856,4.2,1025.8,50,87,2.6,1.5,10196.2
56046,20211203191856,15.0,1017.2,75,268,1.4,0.1,10107.4
56065,20211203191856,24.3,1021.4,52,279,10.6,0.9,10202.4
56067,20211203191856,25.0,1007.5,44,107,6.5,0.7,10427.5
56125,20211203191856,26.5,1023.3,99,270,2.8,0.7,10011.1
56151,20211203191856,19.2,1016.5,60,268,5.8,1.3,10125.1
54715,20211203191856,30.1,1002.9,20,264,2.5,1.0,10356.1
54725,20211203191856,2.1,1015.3,37,233,5.5,1.5,10329.0
54727,20211203191856,10.5,1009.4,88,278,8.4,0.9,10307.7
54744,20211203191856,29.8,1015.2,79,128,7.9,0.9,10418.9
54751,20211203191856,11.4,1025.2,29,254,3.6,1.5,10144.2
54753,20211203191856,28.8,1002.7,14,298,3.2,0.5,10382.8
54764,20211203191856,33.9,1020.3,65,109,9.2,1.5,10474.0
54774,20211203191856,2.1,1021.4,29,92,12.8,1.0,10469.0
54776,20211203191856,32.5,1016.0,41,89,11.7,1.2,10383.8
54808,20211203191856,31.9,1025.8,14,139,4.2,0.2,10430.5
54823,20211203191856,0.0,1017.9,62,265,6.2,0.1,10089.6
54826,20211203191856,0.2,1025.9,74,14,7.0,0.1,10331.1
54836,20211203191856,30.7,1008.9,91,261,5.6,0.6,10144.2
54842,20211203191856,28.4,1002.6,26,341,6.9,1.0,10043.9
54843,20211203191856,33.7,1012.6,23,49,14.6,0.7,10318.5
54857,20211203191856,24.8,1022.7,29,249,4.3,0.9,10333.9
54863,20211203191856,29.9,1011.7,35,55,11.8,0.8,10449.9
54909,20211203191856,11.5,1022.0,40,100,10.8,0.9,10248.1
54916,20211203191856,19.8,1018.5,35,310,12.4,0.8,10083.0
54929,20211203191856,18.0,1004.1,34,12,5.3,0.1,10276.6
54936,20211203191856,2.0,1007.6,10,292,12.5,0.7,10020.5
54945,20211203191856,1.3,1022.4,10,81,2.6,0.4,10147.1
58034,20211203191856,18.5,1010.5,4,41,2.3,0.1,10394.3
53478,20211203191856,15.6,1013.5,35,109,13.8,1.5,10230.8
53487,20211203191856,1.2,1000.7,56,32,0.1,0.4,10105.5
53490,20211203191856,9.1,1014.4,90,212,13.0,1.0,10224.6
53564,20211203191856,28.9,1026.3,16,321,1.6,1.0,10491.5
53578,20211203191856,33.1,1024.4,59,118,5.4,0.9,10260.9
53579,20211203191856,28.0,1002.4,61,67,4.9,0.3,10083.2
53588,20211203191856,26.6,1018.8,90,220,4.4,0.2,10232.6
53594,20211203191856,1.0,1025.8,99,182,2.6,0.9,10321.2
53663,20211203191856,2.8,1013.0,31,35,9.4,1.3,10408.4
53664,20211203191856,0.5,1010.1,33,166,0.0,0.1,10105.0
53673,20211203191856,2.6,1023.7,67,83,14.6,0.7,10131.8
53687,20211203191856,22.9,1020.8,38,275,6.1,1.5,10323.2
53764,20211203191856,15.7,1025.3,74,166,13.8,1.1,10011.2
53772,20211203191856,31.2,1001.6,100,117,8.2,1.5,10179.3
53775,20211203191856,10.2,1002.8,71,236,9.1,1.2,10070.4
53787,20211203191856,4.9,1026.3,77,359,7.8,0.1,10312.6
53853,20211203191856,14.9,1016.7,97,232,5.5,1.3,10317.3
53859,20211203191856,27.0,1024.7,45,193,7.3,1.1,10454.4
53863,20211203191856,1.3,1010.8,7,5,5.7,0.0,10177.2
53868,20211203191856,25.1,1021.1,26,129,11.1,0.1,10106.5
53877,20211203191856,32.7,1016.6,20,132,1.9,0.8,10071.9
53882,20211203191856,10.7,1015.9,36,42,11.6,0.3,10113.8
53884,20211203191856,4.1,1006.9,79,232,0.3,1.2,10261.3
53959,20211203191856,30.3,1008.7,83,12,3.3,0.0,10027.1
53963,20211203191856,23.3,1000.9,26,108,2.6,0.1,10437.2
53968,20211203191856,23.5,1022.8,39,43,5.2,0.1,10337.1
53975,20211203191856,32.3,1019.3,54,245,2.7,1.1,10298.5
57052,20211203191856,27.9,1012.0,67,112,3.9,0.8,10084.4
53646,20211203191856,0.7,1015.8,58,231,1.8,1.5,10385.0
53651,20211203191856,30.9,1002.0,34,13,4.3,1.1,10367.2
53725,20211203191856,30.0,1024.9,15,180,4.9,0.8,10087.5
53735,20211203191856,3.5,1025.1,55,249,12.3,0.8,10315.2
53738,20211203191856,7.8,1019.6,59,167,12.9,0.0,10254.7
53740,20211203191856,31.3,1005.6,71,17,3.3,1.5,10169.9
53754,20211203191856,15.2,1013.6,12,335,7.1,1.3,10153.3
53845,20211203191856,14.4,1001.0,34,69,9.9,0.4,10368.9
53854,20211203191856,25.6,1002.2,14,189,8.3,0.7,10169.2
53929,20211203191856,31.3,1003.6,39,66,9.4,1.3,10267.9
53942,20211203191856,9.1,1005.9,59,45,9.3,0.1,10316.6
53948,20211203191856,26.9,1025.2,82,6,4.4,0.6,10187.9
53955,20211203191856,26.7,1010.9,100,290,1.9,0.4,10197.7
57003,20211203191856,32.1,1009.2,40,299,3.1,0.5,10028.3
57025,20211203191856,28.4,1000.3,55,95,10.5,0.4,10302.7
57028,20211203191856,29.7,1015.4,98,204,3.3,1.0,10320.7
57030,20211203191856,15.8,1009.0,39,55,0.1,0.1,10335.8
57034,20211203191856,21.6,1009.6,9,295,4.1,1.1,10214.0
57037,20211203191856,21.3,1002.1,85,189,6.7,1.0,10409.5
57046,20211203191856,28.7,1013.3,22,24,13.7,0.2,10243.9
57048,20211203191856,5.9,1003.4,91,179,4.6,0.5,10207.0
57049,20211203191856,32.4,1020.5,72,172,2.2,0.3,10123.9
57106,20211203191856,9.4,1021.8,98,217,10.7,1.4,10163.1
57124,20211203191856,26.7,1011.9,48,300,7.9,0.4,10428.4
57127,20211203191856,20.2,1012.3,13,70,13.9,1.4,10451.3
57131,20211203191856,33.0,1016.5,17,59,5.6,0.8,10264.7
57134,20211203191856,5.8,1009.9,15,35,10.0,1.5,10268.9
57140,20211203191856,27.1,1015.5,75,43,12.2,1.3,10058.4
57143,20211203191856,17.4,1025.1,60,170,3.0,0.3,10306.3
57144,20211203191856,17.3,1024.7,3,189,6.5,1.5,10330.5
57154,20211203191856,6.4,1009.9,64,93,3.0,0.9,10072.9
57211,20211203191856,5.5,1020.3,85,29,13.6,1.4,10294.7
57232,20211203191856,20.8,1004.7,12,121,12.3,1.0,10091.3
57238,20211203191856,6.1,1012.5,97,217,7.3,1.4,10326.6
57245,20211203191856,13.0,1006.9,39,3,13.0,0.5,10401.7
57343,20211203191856,30.5,1008.3,17,43,6.8,1.2,10034.4
58362,20211203191856,21.9,1009.7,62,184,9.6,0.9,10383.5
56038,20211203191856,20.9,1011.0,14,169,14.1,0.9,10078.9
56079,20211203191856,24.2,1018.0,97,156,3.1,1.4,10378.6
56144,20211203191856,23.7,1005.2,36,225,6.5,1.5,10283.0
56146,20211203191856,30.2,1021.7,6,60,12.1,0.7,10007.2
56152,20211203191856,26.4,1013.0,36,32,8.5,0.4,10018.4
56167,20211203191856,13.7,1020.7,33,244,12.2,1.2,10377.5
56172,20211203191856,28.6,1005.0,72,269,10.2,1.4,10348.2
56173,20211203191856,25.2,1025.6,16,264,12.0,0.8,10071.1
56178,20211203191856,27.2,1020.7,54,122,7.9,0.8,10474.8
56182,20211203191856,22.3,1004.1,80,135,10.3,0.7,10313.7
56187,20211203191856,31.9,1021.5,93,92,5.7,0.4,10410.9
56188,20211203191856,1.8,1011.2,49,349,13.6,0.3,10242.3
56196,20211203191856,13.9,1023.9,83,78,12.3,1.1,10210.5
56247,20211203191856,25.4,1008.6,67,142,11.7,1.4,10193.3
56251,20211203191856,11.3,1015.4,10,189,0.1,0.6,10484.5
56257,20211203191856,25.6,1017.3,88,158,9.0,0.4,10002.8
56287,20211203191856,17.2,1003.1,86,213,13.7,1.1,10426.1
56357,20211203191856,34.2,1005.4,45,306,8.0,0.6,10027.4
56374,20211203191856,6.0,1026.0,58,63,2.2,1.5,10099.1
56385,20211203191856,10.1,1023.1,59,52,8.9,0.9,10195.1
56386,20211203191856,14.3,1025.0,2,8,3.7,1.4,10403.7
56459,20211203191856,23.7,1005.7,77,255,11.2,0.4,10002.2
56462,20211203191856,27.1,1007.0,42,6,4.7,0.7,10458.8
56475,20211203191856,23.7,1026.3,47,213,3.9,0.0,10476.9
56479,20211203191856,19.2,1005.8,80,261,8.9,0.0,10149.6
56485,20211203191856,19.8,1013.6,63,172,7.8,0.3,10319.7
56492,20211203191856,18.2,1006.6,94,299,4.8,0.7,10257.4
56565,20211203191856,23.8,1021.6,59,187,10.4,0.8,10375.2
56571,20211203191856,32.7,1025.0,90,337,1.4,1.2,10082.3
56666,20211203191856,9.4,1014.3,61,101,7.4,0.6,10051.9
56671,20211203191856,23.1,1016.8,74,349,12.5,0.3,10436.5
57206,20211203191856,34.8,1012.9,78,253,9.0,1.5,10063.4
57237,20211203191856,18.6,1007.5,58,43,5.0,1.1,10084.8
57306,20211203191856,28.4,1019.2,11,331,7.2,1.4,10111.4
57313,20211203191856,4.7,1002.5,39,133,10.8,1.5,10079.4
57314,20211203191856,16.5,1020.2,43,91,13.6,1.1,10096.6
57328,20211203191856,4.4,1010.4,30,336,14.6,0.3,10392.2
57405,20211203191856,30.3,1019.1,92,117,5.5,0.2,10208.4
57411,20211203191856,18.2,1002.6,94,274,7.1,1.1,10389.1
57503,20211203191856,9.0,1025.9,34,307,13.1,0.3,10076.4
57604,20211203191856,10.7,1002.1,68,358,10.3,0.8,10350.9
57608,20211203191856,14.8,1025.8,47,190,12.1,1.0,10108.3
54525,20211203191856,24.0,1013.6,10,305,12.2,0.6,10118.3
54527,20211203191856,28.1,1016.3,12,126,8.7,0.4,10453.2
54623,20211203191856,24.3,1011.9,25,260,7.0,1.5,10260.5
55228,20211203191856,14.7,1012.9,67,107,2.5,1.2,10103.6
55248,20211203191856,17.6,1018.6,50,83,0.2,0.2,10410.0
55279,20211203191856,29.9,1013.5,65,281,5.5,1.1,10246.6
55294,20211203191856,6.2,1026.3,45,314,9.7,0.0,10016.4
55299,20211203191856,1.0,1003.3,47,85,10.3,1.2,10397.8
55437,20211203191856,20.1,1009.8,55,206,13.5,1.5,10350.1
55472,20211203191856,0.9,1011.4,35,216,8.1,1.4,10319.1
55493,20211203191856,15.1,1010.5,89,150,10.1,0.9,10310.5
55569,20211203191856,18.6,1003.0,52,358,1.9,0.1,10052.0
55578,20211203191856,6.0,1005.8,89,106,9.2,0.6,10019.5
55585,20211203191856,1.2,1010.3,87,318,1.4,0.9,10297.5
55591,20211203191856,11.0,1006.1,77,313,14.9,0.1,10474.7
55598,20211203191856,0.4,1013.0,60,170,5.5,1.5,10191.3
55655,20211203191856,26.4,1019.7,38,52,2.6,0.9,10288.2
55664,20211203191856,8.9,1007.2,44,209,2.2,0.9,10350.7
55680,20211203191856,21.0,1020.4,7,273,2.8,1.5,10118.0
55681,20211203191856,8.7,1011.5,82,269,0.2,0.8,10107.6
55690,20211203191856,22.0,1002.0,53,26,12.0,1.3,10045.4
55696,20211203191856,1.5,1000.7,2,338,3.9,0.4,10102.8
55773,20211203191856,22.6,1004.2,39,299,8.4,0.9,10245.3
56106,20211203191856,8.9,1005.7,51,93,13.2,0.7,10302.9
56116,20211203191856,29.4,1024.3,54,55,8.1,0.2,10207.6
56137,20211203191856,34.3,1023.7,25,61,1.6,1.3,10483.6
56202,20211203191856,25.1,1011.3,39,18,10.2,0.4,10389.7
56223,20211203191856,23.2,1006.2,54,312,0.9,0.7,10120.6
56227,20211203191856,19.3,1022.4,68,199,1.0,0.1,10030.3
56312,20211203191856,22.7,1004.8,9,156,3.0,0.8,10115.3
56331,20211203191856,11.0,1015.6,69,334,13.6,1.0,10371.4
56434,20211203191856,32.9,1008.6,47,147,1.4,0.8,10209.9
51053,20211203191856,13.2,1000.8,78,351,4.0,0.1,10299.3
51059,20211203191856,12.0,1005.2,30,185,5.5,0.6,10301.4
51060,20211203191856,11.8,1003.4,39,64,13.8,0.6,10448.6
51068,20211203191856,15.4,1010.9,69,175,10.2,1.4,10481.5
51076,20211203191856,19.2,1006.6,28,116,12.2,0.8,10131.3
51087,20211203191856,13.3,1025.6,70,136,12.5,0.7,10398.1
51133,20211203191856,14.4,1022.4,3,288,6.5,0.4,10255.8
51156,20211203191856,5.6,1021.5,48,58,6.4,0.7,10115.4
51186,20211203191856,0.5,1007.9,89,27,5.2,1.1,10485.6
51232,20211203191856,26.1,1024.2,3,358,2.3,0.3,10204.8
51238,20211203191856,7.1,1006.2,16,321,6.3,1.3,10492.3
51241,20211203191856,14.1,1005.1,55,242,1.1,0.9,10178.0
51243,20211203191856,25.0,1007.4,7,38,5.5,0.2,10382.7
51288,20211203191856,23.6,1010.2,21,102,3.4,1.0,10000.2
51330,20211203191856,11.5,1025.5,28,40,7.0,1.0,10407.9
51334,20211203191856,22.6,1005.9,92,194,7.7,1.3,10142.2
51346,20211203191856,5.1,1000.6,62,290,2.2,0.7,10488.2
51358,20211203191856,20.0,1016.4,6,274,12.8,0.9,10074.2
51365,20211203191856,16.8,1014.4,90,121,9.5,0.8,10097.9
51367,20211203191856,33.0,1021.9,77,320,13.0,0.7,10483.0
51379,20211203191856,4.3,1023.7,17,49,11.8,0.1,10348.1
51431,20211203191856,28.1,1006.2,41,299,11.1,0.5,10432.9
51433,20211203191856,34.1,1005.1,71,93,12.2,0.3,10338.0
51437,20211203191856,19.3,1022.1,61,44,4.7,0.4,10008.4
51463,20211203191856,7.3,1018.3,5,116,7.5,0.0,10260.8
51467,20211203191856,8.6,1021.4,9,257,4.6,0.4,10025.0
51469,20211203191856,33.8,1003.1,10,328,11.9,0.7,10022.1
51470,20211203191856,13.3,1004.9,81,271,12.7,1.2,10054.9
51477,20211203191856,17.5,1017.9,85,203,8.7,0.0,10341.0
51495,20211203191856,15.7,1026.0,81,99,11.0,0.4,10108.9
51526,20211203191856,19.3,1005.1,57,298,8.9,0.9,10066.8
51542,20211203191856,4.6,1013.6,21,231,14.5,1.2,10096.4
51567,20211203191856,28.9,1013.7,11,12,7.1,0.2,10217.7
51573,20211203191856,10.8,1002.5,99,4,4.5,0.2,10036.4
51581,20211203191856,33.3,1012.3,84,266,6.1,1.1,10122.4
51628,20211203191856,27.6,1018.2,3,358,5.8,1.4,10108.6
51633,20211203191856,17.7,1012.1,25,122,1.9,1.4,10138.5
51639,20211203191856,24.7,1007.6,42,203,1.8,1.1,10135.9
51642,20211203191856,16.5,1013.9,64,173,14.0,0.2,10184.0
51644,20211203191856,20.4,1000.8,76,254,14.7,0.9,10122.8
51655,20211203191856,9.8,1011.2,27,354,12.8,0.7,10155.4
51656,20211203191856,22.2,1010.4,84,162,12.2,0.9,10392.3
51701,20211203191856,13.7,1017.6,25,114,13.8,0.3,10363.5
51704,20211203191856,8.1,1010.3,19,321,12.8,0.9,10009.0
51705,20211203191856,1.5,1018.5,53,104,2.4,1.4,10354.8
51709,20211203191856,24.9,1015.1,48,82,7.1,1.1,10111.4
51711,20211203191856,4.9,1026.3,42,356,2.6,0.6,10375.5
51716,20211203191856,3.2,1012.2,70,104,9.7,1.1,10286.6
51720,20211203191856,11.8,1006.2,66,34,0.4,1.3,10368.7
51730,20211203191856,24.8,1009.8,90,54,3.1,1.2,10216.1
51747,20211203191856,23.2,1015.4,34,190,12.9,1.4,10190.5
51765,20211203191856,27.3,1002.1,29,222,10.6,0.5,10279.7
51777,20211203191856,27.8,1014.3,98,1,7.2,0.2,10440.9
51804,20211203191856,12.8,1004.6,27,187,8.4,1.1,10095.3
51810,20211203191856,3.5,1020.0,83,322,12.7,1.5,10391.5
51811,20211203191856,17.8,1001.8,11,134,14.2,1.0,10418.2
51818,20211203191856,26.3,1000.2,9,53,7.7,0.5,10300.6
51828,20211203191856,28.4,1014.1,23,277,0.7,0.0,10116.5
51839,20211203191856,5.9,1005.2,83,41,12.2,1.2,10265.0
51855,20211203191856,2.4,1003.6,60,228,12.7,0.5,10428.3
51931,20211203191856,2.6,1005.4,12,307,4.8,0.3,10059.4
52101,20211203191856,17.6,1021.1,8,296,0.0,0.1,10440.5
52112,20211203191856,35.0,1021.6,43,75,14.8,0.9,10018.2
52118,20211203191856,11.5,1000.6,4,32,7.3,1.0,10168.6
52203,20211203191856,16.2,1022.5,55,213,9.4,1.4,10379.7
52313,20211203191856,30.5,1000.4,13,49,11.8,1.5,10085.9
56444,20211203191856,9.1,1017.9,3,169,3.5,1.3,10075.1
56533,20211203191856,10.9,1009.9,53,340,11.5,1.5,10323.2
56543,20211203191856,25.5,1025.9,17,102,0.4,1.4,10450.0
56548,20211203191856,27.9,1013.5,8,314,3.2,0.4,10168.7
56586,20211203191856,23.7,1019.0,65,58,5.0,1.1,10038.0
56643,20211203191856,17.0,1019.4,85,35,3.8,0.8,10392.2
56651,20211203191856,31.9,1020.4,72,206,6.3,0.3,10483.3
56664,20211203191856,12.0,1014.4,9,352,0.2,0.3,10334.7
56684,20211203191856,19.6,1007.1,87,244,3.7,0.3,10120.9
56739,20211203191856,24.7,1018.5,54,28,8.4,0.9,10494.2
56748,20211203191856,10.8,1022.4,43,101,11.8,0.1,10210.1
56751,20211203191856,20.0,1010.7,21,165,1.4,0.8,10491.0
56763,20211203191856,13.6,1005.5,50,312,13.7,0.7,10210.4
56768,20211203191856,17.2,1017.6,43,237,10.8,0.3,10355.4
56778,20211203191856,27.3,1015.5,6,298,6.1,1.5,10247.3
56786,20211203191856,18.2,1011.5,80,164,6.7,0.3,10490.3
56838,20211203191856,4.5,1012.7,53,359,12.5,0.9,10433.7
56856,20211203191856,18.2,1014.1,40,120,2.5,1.3,10263.8
56872,20211203191856,8.8,1004.9,7,18,6.4,1.5,10331.1
56875,20211203191856,25.1,1025.8,1,206,12.8,0.8,10060.4
56886,20211203191856,14.7,1010.1,45,209,6.1,0.4,10364.7
56946,20211203191856,21.6,1007.2,85,200,3.6,0.3,10394.2
56950,20211203191856,5.0,1001.2,54,28,13.6,1.1,10413.8
56951,20211203191856,12.8,1006.5,28,325,8.8,0.7,10453.0
56954,20211203191856,30.3,1018.4,54,223,9.1,0.2,10202.3
